Mix:
Choose agv 3 with rule 3 take QC8 to destiantion [2808.823, 1008.823] 
Choose agv 0 with rule 1 take QC7 to destiantion [2385.294, 585.2941] 
Choose agv 4 with rule 2 take QC6 to destiantion [2385.294, 1008.823] 
Choose agv 2 with rule 2 take QC5 to destiantion [1114.706, 161.7647] 
Choose agv 5 with rule 3 take QC4 to destiantion [1961.765, 585.2941] 
Choose agv 7 with rule 2 take QC3 to destiantion [267.6471, 161.7647] 
Choose agv 9 with rule 1 take QC2 to destiantion [1114.706, 161.7647] 
Choose agv 6 with rule 3 take QC1 to destiantion [691.1765, 585.2941] 
Choose agv 1 with rule 2 take QC7 to destiantion [691.1765, 1008.823] 
Choose agv 8 with rule 2 take QC5 to destiantion [1114.706, 585.2941] 
Choose agv 10 with rule 1 take QC4 to destiantion [1114.706, 1008.823] 
Choose agv 0 with rule 1 take QC3 to destiantion [2385.294, 585.2941] 
Choose agv 11 with rule 2 take QC6 to destiantion [2808.823, 161.7647] 
Choose agv 2 with rule 2 take QC1 to destiantion [2385.294, 585.2941] 
Choose agv 5 with rule 3 take QC8 to destiantion [2808.823, 585.2941] 
Choose agv 7 with rule 2 take QC7 to destiantion [1961.765, 1008.823] 
Choose agv 4 with rule 2 take QC2 to destiantion [267.6471, 1008.823] 
Choose agv 6 with rule 3 take QC3 to destiantion [1538.235, 1008.823] 
Choose agv 9 with rule 1 take QC1 to destiantion [2385.294, 585.2941] 
Choose agv 3 with rule 3 take QC5 to destiantion [3232.353, 161.7647] 
Choose agv 0 with rule 1 take QC8 to destiantion [2808.823, 161.7647] 
Choose agv 5 with rule 3 take QC7 to destiantion [1114.706, 161.7647] 
Choose agv 6 with rule 3 take QC4 to destiantion [1961.765, 1008.823] 
Choose agv 8 with rule 2 take QC2 to destiantion [1961.765, 1008.823] 
Choose agv 1 with rule 2 take QC1 to destiantion [1114.706, 1008.823] 
Choose agv 2 with rule 2 take QC3 to destiantion [2385.294, 585.2941] 
Choose agv 10 with rule 1 take QC5 to destiantion [1114.706, 161.7647] 
Choose agv 9 with rule 1 take QC8 to destiantion [3232.353, 1008.823] 
Choose agv 11 with rule 2 take QC6 to destiantion [691.1765, 1008.823] 
Choose agv 4 with rule 2 take QC4 to destiantion [1961.765, 585.2941] 
Choose agv 3 with rule 3 take QC1 to destiantion [2385.294, 1008.823] 
Choose agv 7 with rule 2 take QC2 to destiantion [2385.294, 1008.823] 
Choose agv 0 with rule 1 take QC7 to destiantion [1538.235, 585.2941] 
Choose agv 6 with rule 3 take QC3 to destiantion [2808.823, 161.7647] 
Choose agv 5 with rule 3 take QC5 to destiantion [3232.353, 161.7647] 
Choose agv 8 with rule 2 take QC8 to destiantion [1961.765, 161.7647] 
Choose agv 1 with rule 2 take QC7 to destiantion [691.1765, 585.2941] 
Choose agv 10 with rule 1 take QC6 to destiantion [1114.706, 1008.823] 
Choose agv 2 with rule 2 take QC4 to destiantion [3232.353, 1008.823] 
Choose agv 9 with rule 1 take QC2 to destiantion [691.1765, 1008.823] 
Choose agv 11 with rule 2 take QC3 to destiantion [1538.235, 1008.823] 
Choose agv 4 with rule 2 take QC5 to destiantion [1961.765, 1008.823] 
Choose agv 0 with rule 1 take QC1 to destiantion [1961.765, 585.2941] 
Choose agv 5 with rule 3 take QC6 to destiantion [1961.765, 585.2941] 
Choose agv 6 with rule 3 take QC8 to destiantion [1114.706, 585.2941] 
Choose agv 4 with rule 2 take QC7 to destiantion [267.6471, 1008.823] 
Choose agv 7 with rule 2 take QC3 to destiantion [2808.823, 161.7647] 
Choose agv 5 with rule 3 take QC8 to destiantion [2385.294, 161.7647] 
Choose agv 8 with rule 2 take QC1 to destiantion [1538.235, 1008.823] 
Choose agv 10 with rule 1 take QC6 to destiantion [267.6471, 161.7647] 
Choose agv 11 with rule 2 take QC4 to destiantion [2385.294, 161.7647] 
Choose agv 3 with rule 3 take QC2 to destiantion [2385.294, 1008.823] 
Choose agv 2 with rule 2 take QC5 to destiantion [2808.823, 585.2941] 
Choose agv 9 with rule 1 take QC4 to destiantion [2808.823, 1008.823] 
Choose agv 1 with rule 2 take QC3 to destiantion [1114.706, 161.7647] 
Choose agv 11 with rule 2 take QC8 to destiantion [267.6471, 585.2941] 
Choose agv 0 with rule 1 take QC1 to destiantion [2385.294, 161.7647] 
Choose agv 6 with rule 3 take QC7 to destiantion [2385.294, 161.7647] 
Choose agv 1 with rule 2 take QC3 to destiantion [3232.353, 585.2941] 
Choose agv 5 with rule 3 take QC5 to destiantion [267.6471, 585.2941] 
Choose agv 7 with rule 2 take QC8 to destiantion [1961.765, 161.7647] 
Choose agv 8 with rule 2 take QC5 to destiantion [1538.235, 1008.823] 
Choose agv 2 with rule 2 take QC8 to destiantion [1961.765, 161.7647] 
Choose agv 4 with rule 2 take QC1 to destiantion [1114.706, 161.7647] 
Choose agv 10 with rule 1 take QC7 to destiantion [267.6471, 585.2941] 
Choose agv 6 with rule 3 take QC4 to destiantion [691.1765, 161.7647] 
Choose agv 9 with rule 1 take QC3 to destiantion [1114.706, 1008.823] 
Choose agv 1 with rule 2 take QC5 to destiantion [3232.353, 585.2941] 
Choose agv 5 with rule 3 take QC1 to destiantion [1961.765, 1008.823] 
Choose agv 7 with rule 2 take QC2 to destiantion [691.1765, 161.7647] 
Choose agv 3 with rule 3 take QC6 to destiantion [691.1765, 1008.823] 
Choose agv 4 with rule 2 take QC4 to destiantion [1114.706, 161.7647] 
Choose agv 0 with rule 1 take QC6 to destiantion [691.1765, 161.7647] 
Choose agv 2 with rule 2 take QC2 to destiantion [1114.706, 161.7647] 
Choose agv 7 with rule 2 take QC4 to destiantion [691.1765, 585.2941] 
Choose agv 6 with rule 3 take QC6 to destiantion [2808.823, 161.7647] 
Choose agv 8 with rule 2 take QC7 to destiantion [2808.823, 161.7647] 
Choose agv 4 with rule 2 take QC2 to destiantion [2385.294, 585.2941] 
Choose agv 2 with rule 2 take QC2 to destiantion [1538.235, 1008.823] 
Choose agv 5 with rule 3 take QC6 to destiantion [1114.706, 161.7647] 
Rule 1: 
Choose agv 2 with rule 1 take QC8 to destionation [2808.823, 1008.823] 
Choose agv 0 with rule 1 take QC7 to destionation [2385.294, 585.2941] 
Choose agv 7 with rule 1 take QC6 to destionation [2385.294, 1008.823] 
Choose agv 9 with rule 1 take QC5 to destionation [1114.706, 161.7647] 
Choose agv 5 with rule 1 take QC4 to destionation [1961.765, 585.2941] 
Choose agv 4 with rule 1 take QC3 to destionation [267.6471, 161.7647] 
Choose agv 3 with rule 1 take QC2 to destionation [1114.706, 161.7647] 
Choose agv 6 with rule 1 take QC1 to destionation [691.1765, 585.2941] 
Choose agv 1 with rule 1 take QC7 to destionation [691.1765, 1008.823] 
Choose agv 11 with rule 1 take QC3 to destionation [2385.294, 585.2941] 
Choose agv 10 with rule 1 take QC2 to destionation [267.6471, 1008.823] 
Choose agv 0 with rule 1 take QC4 to destionation [1114.706, 1008.823] 
Choose agv 4 with rule 1 take QC8 to destionation [2808.823, 585.2941] 
Choose agv 3 with rule 1 take QC1 to destionation [2385.294, 585.2941] 
Choose agv 8 with rule 1 take QC7 to destionation [1961.765, 1008.823] 
Choose agv 5 with rule 1 take QC4 to destionation [1961.765, 1008.823] 
Choose agv 6 with rule 1 take QC5 to destionation [1114.706, 585.2941] 
Choose agv 2 with rule 1 take QC4 to destionation [1961.765, 585.2941] 
Choose agv 0 with rule 1 take QC1 to destionation [2385.294, 585.2941] 
Choose agv 7 with rule 1 take QC6 to destionation [2808.823, 161.7647] 
Choose agv 9 with rule 1 take QC3 to destionation [1538.235, 1008.823] 
Choose agv 5 with rule 1 take QC2 to destionation [1961.765, 1008.823] 
Choose agv 7 with rule 1 take QC8 to destionation [2808.823, 161.7647] 
Choose agv 1 with rule 1 take QC6 to destionation [691.1765, 1008.823] 
Choose agv 9 with rule 1 take QC5 to destionation [3232.353, 161.7647] 
Choose agv 10 with rule 1 take QC3 to destionation [2385.294, 585.2941] 
Choose agv 3 with rule 1 take QC4 to destionation [3232.353, 1008.823] 
Choose agv 11 with rule 1 take QC8 to destionation [3232.353, 1008.823] 
Choose agv 4 with rule 1 take QC7 to destionation [1114.706, 161.7647] 
Choose agv 6 with rule 1 take QC1 to destionation [1114.706, 1008.823] 
Choose agv 2 with rule 1 take QC2 to destionation [2385.294, 1008.823] 
Choose agv 7 with rule 1 take QC5 to destionation [1114.706, 161.7647] 
Choose agv 8 with rule 1 take QC8 to destionation [1961.765, 161.7647] 
Choose agv 9 with rule 1 take QC6 to destionation [1114.706, 1008.823] 
Choose agv 11 with rule 1 take QC2 to destionation [691.1765, 1008.823] 
Choose agv 4 with rule 1 take QC5 to destionation [3232.353, 161.7647] 
Choose agv 5 with rule 1 take QC4 to destionation [2385.294, 161.7647] 
Choose agv 7 with rule 1 take QC3 to destionation [2808.823, 161.7647] 
Choose agv 0 with rule 1 take QC1 to destionation [2385.294, 1008.823] 
Choose agv 10 with rule 1 take QC6 to destionation [1961.765, 585.2941] 
Choose agv 6 with rule 1 take QC3 to destionation [1538.235, 1008.823] 
Choose agv 3 with rule 1 take QC7 to destionation [1538.235, 585.2941] 
Choose agv 1 with rule 1 take QC8 to destionation [1114.706, 585.2941] 
Choose agv 7 with rule 1 take QC5 to destionation [1961.765, 1008.823] 
Choose agv 10 with rule 1 take QC7 to destionation [691.1765, 585.2941] 
Choose agv 2 with rule 1 take QC4 to destionation [2808.823, 1008.823] 
Choose agv 5 with rule 1 take QC3 to destionation [2808.823, 161.7647] 
Choose agv 4 with rule 1 take QC6 to destionation [267.6471, 161.7647] 
Choose agv 9 with rule 1 take QC1 to destionation [1961.765, 585.2941] 
Choose agv 6 with rule 1 take QC5 to destionation [2808.823, 585.2941] 
Choose agv 8 with rule 1 take QC2 to destionation [2385.294, 1008.823] 
Choose agv 7 with rule 1 take QC7 to destionation [267.6471, 1008.823] 
Choose agv 3 with rule 1 take QC3 to destionation [1114.706, 161.7647] 
Choose agv 11 with rule 1 take QC4 to destionation [691.1765, 161.7647] 
Choose agv 3 with rule 1 take QC5 to destionation [267.6471, 585.2941] 
Choose agv 5 with rule 1 take QC8 to destionation [2385.294, 161.7647] 
Choose agv 0 with rule 1 take QC3 to destionation [3232.353, 585.2941] 
Choose agv 4 with rule 1 take QC2 to destionation [691.1765, 161.7647] 
Choose agv 6 with rule 1 take QC7 to destionation [2385.294, 161.7647] 
Choose agv 2 with rule 1 take QC5 to destionation [1538.235, 1008.823] 
Choose agv 4 with rule 1 take QC8 to destionation [267.6471, 585.2941] 
Choose agv 10 with rule 1 take QC4 to destionation [1114.706, 161.7647] 
Choose agv 9 with rule 1 take QC7 to destionation [267.6471, 585.2941] 
Choose agv 11 with rule 1 take QC2 to destionation [1114.706, 161.7647] 
Choose agv 8 with rule 1 take QC2 to destionation [2385.294, 585.2941] 
Choose agv 6 with rule 1 take QC1 to destionation [1538.235, 1008.823] 
Choose agv 5 with rule 1 take QC6 to destionation [691.1765, 1008.823] 
Choose agv 11 with rule 1 take QC6 to destionation [691.1765, 161.7647] 
Choose agv 1 with rule 1 take QC5 to destionation [3232.353, 585.2941] 
Choose agv 10 with rule 1 take QC7 to destionation [2808.823, 161.7647] 
Choose agv 3 with rule 1 take QC4 to destionation [691.1765, 585.2941] 
Choose agv 2 with rule 1 take QC8 to destionation [1961.765, 161.7647] 
Choose agv 7 with rule 1 take QC6 to destionation [2808.823, 161.7647] 
Choose agv 0 with rule 1 take QC2 to destionation [1538.235, 1008.823] 
Choose agv 5 with rule 1 take QC1 to destionation [2385.294, 161.7647] 
Choose agv 10 with rule 1 take QC3 to destionation [1114.706, 1008.823] 
Choose agv 9 with rule 1 take QC1 to destionation [1114.706, 161.7647] 
Choose agv 3 with rule 1 take QC8 to destionation [1961.765, 161.7647] 
Choose agv 6 with rule 1 take QC1 to destionation [1961.765, 1008.823] 
Choose agv 1 with rule 1 take QC6 to destionation [1114.706, 161.7647] 
Rule 2: 
Choose agv 2 with rule 2 take QC8 to destionation [2808.823, 1008.823] 
Choose agv 1 with rule 2 take QC7 to destionation [2385.294, 585.2941] 
Choose agv 7 with rule 2 take QC6 to destionation [2385.294, 1008.823] 
Choose agv 4 with rule 2 take QC5 to destionation [1114.706, 161.7647] 
Choose agv 0 with rule 2 take QC4 to destionation [1961.765, 585.2941] 
Choose agv 8 with rule 2 take QC3 to destionation [267.6471, 161.7647] 
Choose agv 6 with rule 2 take QC2 to destionation [1114.706, 161.7647] 
Choose agv 3 with rule 2 take QC1 to destionation [691.1765, 585.2941] 
Choose agv 5 with rule 2 take QC4 to destionation [1114.706, 1008.823] 
Choose agv 0 with rule 2 take QC1 to destionation [2385.294, 585.2941] 
Choose agv 11 with rule 2 take QC7 to destionation [691.1765, 1008.823] 
Choose agv 9 with rule 2 take QC5 to destionation [1114.706, 585.2941] 
Choose agv 10 with rule 2 take QC2 to destionation [267.6471, 1008.823] 
Choose agv 3 with rule 2 take QC8 to destionation [2808.823, 585.2941] 
Choose agv 6 with rule 2 take QC4 to destionation [1961.765, 1008.823] 
Choose agv 4 with rule 2 take QC3 to destionation [2385.294, 585.2941] 
Choose agv 1 with rule 2 take QC3 to destionation [1538.235, 1008.823] 
Choose agv 8 with rule 2 take QC6 to destionation [2808.823, 161.7647] 
Choose agv 5 with rule 2 take QC1 to destionation [2385.294, 585.2941] 
Choose agv 2 with rule 2 take QC4 to destionation [1961.765, 585.2941] 
Choose agv 7 with rule 2 take QC3 to destionation [2385.294, 585.2941] 
Choose agv 4 with rule 2 take QC5 to destionation [3232.353, 161.7647] 
Choose agv 6 with rule 2 take QC6 to destionation [691.1765, 1008.823] 
Choose agv 8 with rule 2 take QC8 to destionation [2808.823, 161.7647] 
Choose agv 1 with rule 2 take QC1 to destionation [1114.706, 1008.823] 
Choose agv 0 with rule 2 take QC5 to destionation [1114.706, 161.7647] 
Choose agv 9 with rule 2 take QC8 to destionation [3232.353, 1008.823] 
Choose agv 3 with rule 2 take QC7 to destionation [1961.765, 1008.823] 
